epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6087,2.13897,4.04829,0.01638,0.00995,0.15948,0.03844,0.02999,1.60581,4.26695,0.01066,0.00014443,0.00014443,0.00014443
2,115.714,1.85309,3.82544,0.01659,0.01065,0.19257,0.08538,0.0717,1.534,4.20799,0.00995,0.000297,0.000297,0.000297
3,169.05,1.86848,3.5346,0.01622,0.01498,0.22133,0.08222,0.06318,1.60057,4.00834,0.01084,0.000446491,0.000446491,0.000446491
4,223.763,1.73051,3.12656,0.01411,0.01879,0.31306,0.12646,0.10098,1.6087,3.57281,0.01121,0.000592902,0.000592902,0.000592902
5,271.243,1.8156,2.96636,0.01554,0.66156,0.14133,0.20041,0.13236,1.6457,3.13566,0.01169,0.000736233,0.000736233,0.000736233
6,319.619,1.75912,2.81064,0.0167,0.32977,0.36478,0.25757,0.16645,1.65808,2.9222,0.0116,0.000876485,0.000876485,0.000876485
7,369.355,1.89406,2.74093,0.01571,0.47669,0.23999,0.24887,0.1484,1.7734,2.89596,0.01257,0.00101366,0.00101366,0.00101366
8,421.011,1.69287,2.69072,0.01764,0.53175,0.21601,0.25964,0.17271,1.63,2.79597,0.01119,0.00103401,0.00103401,0.00103401
9,468.407,1.64659,2.52254,0.01374,0.51589,0.22361,0.27834,0.18422,1.62076,2.67831,0.0109,0.00102301,0.00102301,0.00102301
10,514.89,1.57386,2.43714,0.01264,0.44857,0.37793,0.34654,0.20966,1.75507,2.29533,0.01273,0.00101201,0.00101201,0.00101201
11,561.632,1.69986,2.45132,0.0143,0.48142,0.40811,0.37875,0.25131,1.62679,2.29295,0.01162,0.00100101,0.00100101,0.00100101
12,608.394,1.60114,2.37545,0.01351,0.51961,0.42326,0.40025,0.27435,1.59752,2.31018,0.01118,0.000990012,0.000990012,0.000990012
13,658.482,1.71252,2.51638,0.01926,0.53434,0.4077,0.40044,0.27098,1.63307,2.30927,0.01152,0.000979013,0.000979013,0.000979013
14,708.452,1.5748,2.2621,0.01258,0.48719,0.44126,0.40108,0.24803,1.75206,2.29993,0.012,0.000968014,0.000968014,0.000968014
15,757.765,1.47723,2.28132,0.01179,0.47254,0.44461,0.40855,0.27357,1.59885,2.33009,0.01171,0.000957015,0.000957015,0.000957015
16,812.654,1.62928,2.22938,0.01298,0.55944,0.46746,0.4639,0.29568,1.56714,2.06774,0.01027,0.000946016,0.000946016,0.000946016
17,862.98,1.55415,2.36593,0.01468,0.48995,0.43385,0.38743,0.25414,1.61738,2.23564,0.01077,0.000935018,0.000935018,0.000935018
18,916.259,1.60788,2.23052,0.01426,0.52076,0.48909,0.46083,0.29694,1.5557,1.91783,0.0104,0.000924019,0.000924019,0.000924019
19,971.272,1.60719,2.18481,0.01366,0.54107,0.51654,0.48219,0.30071,1.58351,1.79703,0.01069,0.00091302,0.00091302,0.00091302
20,1029,1.65343,2.32834,0.01493,0.38952,0.38462,0.34048,0.22436,1.69467,2.39343,0.01198,0.000902021,0.000902021,0.000902021
